start_t,end_t,latency,status_code,input_text,output_text,input_len,output_len,output_speed,model_name,batch_size,num_worker,max_length,max_batch_delay,inited_gpu_memory_used,runtime_gpu_memory_used,index,batch_t
1697021378.7125776,1697021385.5398896,6.827311992645264,200,What is your name?,"What is your name?

My name is Sherlock Holmes.

What is your occupation?

I am a consulting detective.

What is your favorite hobby?

I have no time for",18,153,22.40999095468606,llama2-7b-chat,32,1,50,1000, 7909 MiB, 10223 MiB,0,6.898660898208618
1697021378.7126942,1697021385.5416977,6.829003572463989,200,What is your name?,"What is your name?

My name is Sherlock Holmes.

What is your occupation?

I am a consulting detective.

What is your favorite hobby?

I have no time for",18,153,22.404439882990967,llama2-7b-chat,32,1,50,1000, 7909 MiB, 10223 MiB,0,6.898660898208618
1697021378.7128875,1697021385.5373936,6.824506044387817,200,What is your name?,"What is your name?

My name is Sherlock Holmes.

What is your occupation?

I am a consulting detective.

What is your favorite hobby?

I have no time for",18,153,22.419204995183595,llama2-7b-chat,32,1,50,1000, 7909 MiB, 10223 MiB,0,6.898660898208618
1697021378.713074,1697021385.5427663,6.829692363739014,200,What is your name?,"What is your name?

My name is Sherlock Holmes.

What is your occupation?

I am a consulting detective.

What is your favorite hobby?

I have no time for",18,153,22.402180340116804,llama2-7b-chat,32,1,50,1000, 7909 MiB, 10223 MiB,0,6.898660898208618
1697021378.7132447,1697021385.5302196,6.816974878311157,200,What is your name?,"What is your name?

My name is Sherlock Holmes.

What is your occupation?

I am a consulting detective.

What is your favorite hobby?

I have no time for",18,153,22.443972983791358,llama2-7b-chat,32,1,50,1000, 7909 MiB, 10223 MiB,0,6.898660898208618
1697021378.7132876,1697021385.5351539,6.821866273880005,200,What is your name?,"What is your name?

My name is Sherlock Holmes.

What is your occupation?

I am a consulting detective.

What is your favorite hobby?

I have no time for",18,153,22.427880268749348,llama2-7b-chat,32,1,50,1000, 7909 MiB, 10223 MiB,0,6.898660898208618
1697021378.7139935,1697021385.5288942,6.814900636672974,200,What is your name?,"What is your name?

My name is Sherlock Holmes.

What is your occupation?

I am a consulting detective.

What is your favorite hobby?

I have no time for",18,153,22.45080422400618,llama2-7b-chat,32,1,50,1000, 7909 MiB, 10223 MiB,0,6.898660898208618
1697021378.714197,1697021385.536925,6.822728157043457,200,What is your name?,"What is your name?

My name is Sherlock Holmes.

What is your occupation?

I am a consulting detective.

What is your favorite hobby?

I have no time for",18,153,22.425047060104564,llama2-7b-chat,32,1,50,1000, 7909 MiB, 10223 MiB,0,6.898660898208618
1697021378.7143433,1697021385.5329168,6.818573474884033,200,What is your name?,"What is your name?

My name is Sherlock Holmes.

What is your occupation?

I am a consulting detective.

What is your favorite hobby?

I have no time for",18,153,22.4387110535026,llama2-7b-chat,32,1,50,1000, 7909 MiB, 10223 MiB,0,6.898660898208618
1697021378.714563,1697021385.5363817,6.821818828582764,200,What is your name?,"What is your name?

My name is Sherlock Holmes.

What is your occupation?

I am a consulting detective.

What is your favorite hobby?

I have no time for",18,153,22.42803625316825,llama2-7b-chat,32,1,50,1000, 7909 MiB, 10223 MiB,0,6.898660898208618
1697021378.7147105,1697021385.5412204,6.826509952545166,200,What is your name?,"What is your name?

My name is Sherlock Holmes.

What is your occupation?

I am a consulting detective.

What is your favorite hobby?

I have no time for",18,153,22.41262388300718,llama2-7b-chat,32,1,50,1000, 7909 MiB, 10223 MiB,0,6.898660898208618
1697021378.7148526,1697021385.5354428,6.820590257644653,200,What is your name?,"What is your name?

My name is Sherlock Holmes.

What is your occupation?

I am a consulting detective.

What is your favorite hobby?

I have no time for",18,153,22.43207614304562,llama2-7b-chat,32,1,50,1000, 7909 MiB, 10223 MiB,0,6.898660898208618
1697021378.715021,1697021385.5384343,6.823413372039795,200,What is your name?,"What is your name?

My name is Sherlock Holmes.

What is your occupation?

I am a consulting detective.

What is your favorite hobby?

I have no time for",18,153,22.42279511116034,llama2-7b-chat,32,1,50,1000, 7909 MiB, 10223 MiB,0,6.898660898208618
