start_t,end_t,latency,status_code,input_text,output_text,input_len,output_len,output_speed,model_name,batch_size,num_worker,max_length,max_batch_delay,inited_gpu_memory_used,runtime_gpu_memory_used,index,batch_t
1697022044.933589,1697022048.5504816,3.6168925762176514,200,What is your name?,"What is your name? *

Your email address? *

What is your message? *",18,68,18.80066896294462,llama2-7b-chat,2,2,100,1000, 15805 MiB, 15961 MiB,0,3.63570499420166
1697022044.9337187,1697022048.5489464,3.615227699279785,200,What is your name?,"What is your name? *

Your email address? *

What is your message? *",18,68,18.80932700685679,llama2-7b-chat,2,2,100,1000, 15805 MiB, 15961 MiB,0,3.63570499420166
1697022044.9339073,1697022048.4757638,3.541856527328491,200,What is your name?,"What is your name? *

Your email address? *

What is your message? *",18,68,19.198970787021185,llama2-7b-chat,2,2,100,1000, 15805 MiB, 15961 MiB,0,3.63570499420166
1697022044.9340026,1697022048.4763997,3.5423970222473145,200,What is your name?,"What is your name? *

Your email address? *

What is your message? *",18,68,19.196041429839635,llama2-7b-chat,2,2,100,1000, 15805 MiB, 15961 MiB,0,3.63570499420166
1697022053.630992,1697022060.924976,7.2939841747283936,200,Where are you from?,"Where are you from?

I am from the United States.

What do you do?

I am a software engineer.

What do you like to do in your free time?

In my free time,",19,154,21.113289569994784,llama2-7b-chat,2,2,100,1000, 15805 MiB, 16121 MiB,1,7.363091707229614
1697022053.631218,1697022060.9733553,7.342137336730957,200,Where are you from?,"Where are you from?

I am from the United States.

What do you do?

I am a software engineer.

What do you like to do in your free time?

In my free time,",19,154,20.97481876695153,llama2-7b-chat,2,2,100,1000, 15805 MiB, 16121 MiB,1,7.363091707229614
1697022053.6312256,1697022060.9241695,7.292943954467773,200,Where are you from?,"Where are you from?

I am from the United States.

What do you do?

I am a software engineer.

What do you like to do in your free time?

In my free time,",19,154,21.116301038575397,llama2-7b-chat,2,2,100,1000, 15805 MiB, 16121 MiB,1,7.363091707229614
1697022053.6312964,1697022060.976292,7.344995498657227,200,Where are you from?,"Where are you from?

I am from the United States.

What do you do?

I am a software engineer.

What do you like to do in your free time?

In my free time,",19,154,20.966656824793624,llama2-7b-chat,2,2,100,1000, 15805 MiB, 16121 MiB,1,7.363091707229614
1697022066.0499756,1697022067.97646,1.9264843463897705,200,How old are you?,"How old are you?

I am 35 years old.",16,36,18.686889445774092,llama2-7b-chat,2,2,100,1000, 15805 MiB, 16121 MiB,2,1.9480602741241455
1697022066.0500677,1697022067.9786785,1.9286108016967773,200,How old are you?,"How old are you?

I am 35 years old.",16,36,18.666285581480448,llama2-7b-chat,2,2,100,1000, 15805 MiB, 16121 MiB,2,1.9480602741241455
1697022066.050221,1697022067.9807377,1.9305167198181152,200,How old are you?,"How old are you?

I am 35 years old.",16,36,18.647857141269288,llama2-7b-chat,2,2,100,1000, 15805 MiB, 16121 MiB,2,1.9480602741241455
1697022066.0503008,1697022067.980576,1.9302752017974854,200,How old are you?,"How old are you?

I am 35 years old.",16,36,18.650190380354342,llama2-7b-chat,2,2,100,1000, 15805 MiB, 16121 MiB,2,1.9480602741241455
1697022073.070452,1697022079.776888,6.706435918807983,200,What do you do for a living?,"What do you do for a living? <a href=""https://www.freshessays.com/write-my-essay/"">Write my essay</a> for me! I'm too busy to write my",28,134,19.980806738822526,llama2-7b-chat,2,2,100,1000, 15805 MiB, 16125 MiB,3,6.745065450668335
1697022073.0705464,1697022079.7765033,6.705956935882568,200,What do you do for a living?,"What do you do for a living? <a href=""https://www.freshessays.com/write-my-essay/"">Write my essay</a> for me! I'm too busy to write my",28,134,19.98223389759426,llama2-7b-chat,2,2,100,1000, 15805 MiB, 16125 MiB,3,6.745065450668335
1697022073.070705,1697022079.7978954,6.7271904945373535,200,What do you do for a living?,"What do you do for a living? <a href=""https://www.freshessays.com/write-my-essay/"">Write my essay</a> for me! I'm too busy to write my",28,134,19.919162406477316,llama2-7b-chat,2,2,100,1000, 15805 MiB, 16125 MiB,3,6.745065450668335
1697022073.070756,1697022079.7974238,6.726667881011963,200,What do you do for a living?,"What do you do for a living? <a href=""https://www.freshessays.com/write-my-essay/"">Write my essay</a> for me! I'm too busy to write my",28,134,19.920709981572774,llama2-7b-chat,2,2,100,1000, 15805 MiB, 16125 MiB,3,6.745065450668335
1697022084.885736,1697022091.6657996,6.780063629150391,200,Have you been to any interesting places recently?,"Have you been to any interesting places recently?

I've been to a few places recently that I think you might enjoy hearing about.

First, I went to a small town in the countryside that was known for",49,198,29.20326575531141,llama2-7b-chat,2,2,100,1000, 15805 MiB, 16129 MiB,4,6.880778551101685
1697022084.8858469,1697022091.7483234,6.862476587295532,200,Have you been to any interesting places recently?,"Have you been to any interesting places recently?

I've been to a few places recently that I think you might enjoy hearing about.

First, I went to a small town in the countryside that was known for",49,198,28.852557452298836,llama2-7b-chat,2,2,100,1000, 15805 MiB, 16129 MiB,4,6.880778551101685
1697022084.885994,1697022091.6665626,6.780568599700928,200,Have you been to any interesting places recently?,"Have you been to any interesting places recently?

I've been to a few places recently that I think you might enjoy hearing about.

First, I went to a small town in the countryside that was known for",49,198,29.201090895051667,llama2-7b-chat,2,2,100,1000, 15805 MiB, 16129 MiB,4,6.880778551101685
1697022084.8860586,1697022091.7480097,6.861951112747192,200,Have you been to any interesting places recently?,"Have you been to any interesting places recently?

I've been to a few places recently that I think you might enjoy hearing about.

First, I went to a small town in the countryside that was known for",49,198,28.854766923679,llama2-7b-chat,2,2,100,1000, 15805 MiB, 16129 MiB,4,6.880778551101685
