start_t,end_t,latency,status_code,input_text,output_text,input_len,output_len,output_speed,model_name,batch_size,num_worker
1696869580.3647592,1696869587.7824814,7.417722225189209,200,What is your favorite type of cuisine?,"What is your favorite type of cuisine?

I'm a big fan of Italian food, especially pasta dishes. There's something about the combination of rich, savory flavors and the satisfying texture of al d",38,194,26.153581127803893,llama2-7b-chat,4,1
1696869580.3648865,1696869587.78222,7.417333364486694,200,What is your favorite type of cuisine?,"What is your favorite type of cuisine?

I'm a big fan of Italian food, especially pasta dishes. There's something about the combination of rich, savory flavors and the satisfying texture of al d",38,194,26.154952253979687,llama2-7b-chat,4,1
1696869580.3650484,1696869587.78225,7.417201519012451,200,What is your favorite type of cuisine?,"What is your favorite type of cuisine?

I'm a big fan of Italian food, especially pasta dishes. There's something about the combination of rich, savory flavors and the satisfying texture of al d",38,194,26.155417174890207,llama2-7b-chat,4,1
1696869580.3651454,1696869587.7823958,7.417250394821167,200,What is your favorite type of cuisine?,"What is your favorite type of cuisine?

I'm a big fan of Italian food, especially pasta dishes. There's something about the combination of rich, savory flavors and the satisfying texture of al d",38,194,26.155244824342677,llama2-7b-chat,4,1
1696869587.7969081,1696869593.3990426,5.602134466171265,200,Have you ever participated in a charity event?,"Have you ever participated in a charity event? If so, what was it for and how did you get involved?

Charity events are a great way to give back to the community and help those in need. They can take many",46,204,36.414691798610505,llama2-7b-chat,4,1
1696869587.797054,1696869593.3954437,5.598389625549316,200,Have you ever participated in a charity event?,"Have you ever participated in a charity event? If so, what was it for and how did you get involved?

Charity events are a great way to give back to the community and help those in need. They can take many",46,204,36.43905009201346,llama2-7b-chat,4,1
1696869587.7971835,1696869593.3971589,5.599975347518921,200,Have you ever participated in a charity event?,"Have you ever participated in a charity event? If so, what was it for and how did you get involved?

Charity events are a great way to give back to the community and help those in need. They can take many",46,204,36.42873179618238,llama2-7b-chat,4,1
1696869587.7972453,1696869593.3943925,5.597147226333618,200,Have you ever participated in a charity event?,"Have you ever participated in a charity event? If so, what was it for and how did you get involved?

Charity events are a great way to give back to the community and help those in need. They can take many",46,204,36.44713847086512,llama2-7b-chat,4,1
1696869593.4128923,1696869599.0148385,5.601946115493774,200,Have you ever met a celebrity?,"Have you ever met a celebrity? If so, who was it?

I have met a few celebrities in my lifetime, but the one that stands out the most is when I met Leonardo DiCaprio at a char",30,174,31.06063436039728,llama2-7b-chat,4,1
1696869593.4130137,1696869599.018759,5.605745315551758,200,Have you ever met a celebrity?,"Have you ever met a celebrity? If so, who was it?

I have met a few celebrities in my lifetime, but the one that stands out the most is when I met Leonardo DiCaprio at a char",30,174,31.039583535356112,llama2-7b-chat,4,1
1696869593.4134529,1696869599.0203683,5.606915473937988,200,Have you ever met a celebrity?,"Have you ever met a celebrity? If so, who was it?

I have met a few celebrities in my lifetime, but the one that stands out the most is when I met Leonardo DiCaprio at a char",30,174,31.03310560124995,llama2-7b-chat,4,1
1696869593.4134703,1696869599.0161533,5.602683067321777,200,Have you ever met a celebrity?,"Have you ever met a celebrity? If so, who was it?

I have met a few celebrities in my lifetime, but the one that stands out the most is when I met Leonardo DiCaprio at a char",30,174,31.05654878371986,llama2-7b-chat,4,1
1696869599.03413,1696869605.0269475,5.992817401885986,200,Where are you from?,"Where are you from?

I am from the United States.

What do you do?

I am a software engineer.

What do you like to do in your free time?

In my free time,",19,154,25.697429050906006,llama2-7b-chat,4,1
1696869599.0344284,1696869605.0246344,5.990206003189087,200,Where are you from?,"Where are you from?

I am from the United States.

What do you do?

I am a software engineer.

What do you like to do in your free time?

In my free time,",19,154,25.708631709495958,llama2-7b-chat,4,1
1696869599.0345287,1696869605.0241227,5.989593982696533,200,Where are you from?,"Where are you from?

I am from the United States.

What do you do?

I am a software engineer.

What do you like to do in your free time?

In my free time,",19,154,25.71125863370604,llama2-7b-chat,4,1
1696869599.0346327,1696869605.0256724,5.991039752960205,200,Where are you from?,"Where are you from?

I am from the United States.

What do you do?

I am a software engineer.

What do you like to do in your free time?

In my free time,",19,154,25.70505393891065,llama2-7b-chat,4,1
1696869605.0410683,1696869610.8488092,5.807740926742554,200,Do you have a favorite historical figure?,"Do you have a favorite historical figure?

I do! My favorite historical figure is Frida Kahlo. She was a Mexican artist known for her vibrant and emotional paintings, which often depicted her own life and",41,204,35.12553376144131,llama2-7b-chat,4,1
1696869605.0411696,1696869610.8502645,5.8090949058532715,200,Do you have a favorite historical figure?,"Do you have a favorite historical figure?

I do! My favorite historical figure is Frida Kahlo. She was a Mexican artist known for her vibrant and emotional paintings, which often depicted her own life and",41,204,35.11734673063245,llama2-7b-chat,4,1
1696869605.0412924,1696869610.8484416,5.807149171829224,200,Do you have a favorite historical figure?,"Do you have a favorite historical figure?

I do! My favorite historical figure is Frida Kahlo. She was a Mexican artist known for her vibrant and emotional paintings, which often depicted her own life and",41,204,35.129113092120036,llama2-7b-chat,4,1
1696869605.0416968,1696869610.847011,5.805314302444458,200,Do you have a favorite historical figure?,"Do you have a favorite historical figure?

I do! My favorite historical figure is Frida Kahlo. She was a Mexican artist known for her vibrant and emotional paintings, which often depicted her own life and",41,204,35.14021625221932,llama2-7b-chat,4,1
1696869610.8643067,1696869616.4176369,5.553330183029175,200,Do you have any favorite quotes from movies?,"Do you have any favorite quotes from movies?

I do! Here are a few of my favorites:

1. ""I see dead people."" - The Sixth Sense (1999)
2.",44,136,24.48980981098734,llama2-7b-chat,4,1
1696869610.8643723,1696869616.4168313,5.552459001541138,200,Do you have any favorite quotes from movies?,"Do you have any favorite quotes from movies?

I do! Here are a few of my favorites:

1. ""I see dead people."" - The Sixth Sense (1999)
2.",44,136,24.493652265104867,llama2-7b-chat,4,1
1696869610.864491,1696869616.4158664,5.551375389099121,200,Do you have any favorite quotes from movies?,"Do you have any favorite quotes from movies?

I do! Here are a few of my favorites:

1. ""I see dead people."" - The Sixth Sense (1999)
2.",44,136,24.49843335528245,llama2-7b-chat,4,1
