start_t,end_t,latency,status_code,input_text,output_text,input_len,output_len,output_speed,model_name,batch_size,num_worker
1696870481.5121772,1696870487.2542942,5.742116928100586,200,What's the best piece of advice you've ever received?,"What's the best piece of advice you've ever received?

My best friend once told me, ""Don't let anyone dull your sparkle."" It's a simple phrase, but it's had a prof",53,163,28.386743432951683,llama2-7b-chat,6,1
1696870481.5122688,1696870487.2536552,5.741386413574219,200,What's the best piece of advice you've ever received?,"What's the best piece of advice you've ever received?

My best friend once told me, ""Don't let anyone dull your sparkle."" It's a simple phrase, but it's had a prof",53,163,28.39035526586803,llama2-7b-chat,6,1
1696870481.512427,1696870487.2565434,5.744116306304932,200,What's the best piece of advice you've ever received?,"What's the best piece of advice you've ever received?

My best friend once told me, ""Don't let anyone dull your sparkle."" It's a simple phrase, but it's had a prof",53,163,28.376862742330935,llama2-7b-chat,6,1
1696870481.5126138,1696870487.253529,5.740915298461914,200,What's the best piece of advice you've ever received?,"What's the best piece of advice you've ever received?

My best friend once told me, ""Don't let anyone dull your sparkle."" It's a simple phrase, but it's had a prof",53,163,28.39268505558171,llama2-7b-chat,6,1
1696870481.5130308,1696870487.2537236,5.740692853927612,200,What's the best piece of advice you've ever received?,"What's the best piece of advice you've ever received?

My best friend once told me, ""Don't let anyone dull your sparkle."" It's a simple phrase, but it's had a prof",53,163,28.393785235954613,llama2-7b-chat,6,1
1696870481.5131783,1696870487.2570353,5.743856906890869,200,What's the best piece of advice you've ever received?,"What's the best piece of advice you've ever received?

My best friend once told me, ""Don't let anyone dull your sparkle."" It's a simple phrase, but it's had a prof",53,163,28.378144275225576,llama2-7b-chat,6,1
1696870487.3321128,1696870492.7994585,5.467345714569092,200,Have you ever been involved in a talent show?,"Have you ever been involved in a talent show?

Yes, I have been involved in a talent show.
No, I have not been involved in a talent show.

If yes, please provide details:

I was",45,177,32.374027405718984,llama2-7b-chat,6,1
1696870487.3322413,1696870492.805296,5.473054647445679,200,Have you ever been involved in a talent show?,"Have you ever been involved in a talent show?

Yes, I have been involved in a talent show.
No, I have not been involved in a talent show.

If yes, please provide details:

I was",45,177,32.34025811940457,llama2-7b-chat,6,1
1696870487.3323853,1696870492.7982633,5.465878009796143,200,Have you ever been involved in a talent show?,"Have you ever been involved in a talent show?

Yes, I have been involved in a talent show.
No, I have not been involved in a talent show.

If yes, please provide details:

I was",45,177,32.38272052226088,llama2-7b-chat,6,1
1696870487.332535,1696870492.8036513,5.471116304397583,200,Have you ever been involved in a talent show?,"Have you ever been involved in a talent show?

Yes, I have been involved in a talent show.
No, I have not been involved in a talent show.

If yes, please provide details:

I was",45,177,32.351715838636196,llama2-7b-chat,6,1
