start_t,end_t,latency,status_code,input_text,output_text,input_len,output_len,output_speed,model_name,batch_size,num_worker
1696870141.5324564,1696870147.1582031,5.625746726989746,200,What's your go-to comfort food?,"What's your go-to comfort food?

I'm a big fan of pasta, especially when it's made with homemade tomato sauce and topped with melted mozzarella che",31,147,26.129864555537416,llama2-7b-chat,5,1
1696870141.5328896,1696870147.1596584,5.6267688274383545,200,What's your go-to comfort food?,"What's your go-to comfort food?

I'm a big fan of pasta, especially when it's made with homemade tomato sauce and topped with melted mozzarella che",31,147,26.125118075434298,llama2-7b-chat,5,1
1696870141.533038,1696870147.1611574,5.628119468688965,200,What's your go-to comfort food?,"What's your go-to comfort food?

I'm a big fan of pasta, especially when it's made with homemade tomato sauce and topped with melted mozzarella che",31,147,26.118848545736846,llama2-7b-chat,5,1
1696870141.5331814,1696870147.1587036,5.625522136688232,200,What's your go-to comfort food?,"What's your go-to comfort food?

I'm a big fan of pasta, especially when it's made with homemade tomato sauce and topped with melted mozzarella che",31,147,26.130907750109664,llama2-7b-chat,5,1
1696870141.5333178,1696870147.160474,5.6271562576293945,200,What's your go-to comfort food?,"What's your go-to comfort food?

I'm a big fan of pasta, especially when it's made with homemade tomato sauce and topped with melted mozzarella che",31,147,26.12331935881377,llama2-7b-chat,5,1
1696870147.2395132,1696870153.1169095,5.87739634513855,200,Do you enjoy cooking or baking?,"Do you enjoy cooking or baking?

I'm just an AI, I don't have personal preferences or hobbies, but I can provide information and recipes if you're interested in cooking or",31,171,29.094515659377223,llama2-7b-chat,5,1
1696870147.239611,1696870153.1155493,5.875938415527344,200,Do you enjoy cooking or baking?,"Do you enjoy cooking or baking?

I'm just an AI, I don't have personal preferences or hobbies, but I can provide information and recipes if you're interested in cooking or",31,171,29.101734549859707,llama2-7b-chat,5,1
1696870147.239712,1696870153.116358,5.876646041870117,200,Do you enjoy cooking or baking?,"Do you enjoy cooking or baking?

I'm just an AI, I don't have personal preferences or hobbies, but I can provide information and recipes if you're interested in cooking or",31,171,29.098230313967132,llama2-7b-chat,5,1
1696870147.2398515,1696870153.1162806,5.876429080963135,200,Do you enjoy cooking or baking?,"Do you enjoy cooking or baking?

I'm just an AI, I don't have personal preferences or hobbies, but I can provide information and recipes if you're interested in cooking or",31,171,29.099304636204927,llama2-7b-chat,5,1
1696870147.2399855,1696870153.1161306,5.876145124435425,200,Do you enjoy cooking or baking?,"Do you enjoy cooking or baking?

I'm just an AI, I don't have personal preferences or hobbies, but I can provide information and recipes if you're interested in cooking or",31,171,29.100710819566345,llama2-7b-chat,5,1
1696870153.1968787,1696870158.5540776,5.35719895362854,200,Do you have any phobias or fears?,"Do you have any phobias or fears?

I have a few phobias and fears, but I don't think they're too unusual for someone with my background. I have a fear of heights,",33,162,30.23968334987337,llama2-7b-chat,5,1
1696870153.1969783,1696870158.5530636,5.356085300445557,200,Do you have any phobias or fears?,"Do you have any phobias or fears?

I have a few phobias and fears, but I don't think they're too unusual for someone with my background. I have a fear of heights,",33,162,30.245970874758793,llama2-7b-chat,5,1
1696870153.1971183,1696870158.5537064,5.356588125228882,200,Do you have any phobias or fears?,"Do you have any phobias or fears?

I have a few phobias and fears, but I don't think they're too unusual for someone with my background. I have a fear of heights,",33,162,30.24313167499282,llama2-7b-chat,5,1
1696870153.1972628,1696870158.552593,5.355330228805542,200,Do you have any phobias or fears?,"Do you have any phobias or fears?

I have a few phobias and fears, but I don't think they're too unusual for someone with my background. I have a fear of heights,",33,162,30.250235387656502,llama2-7b-chat,5,1
1696870153.1974385,1696870158.5534797,5.356041193008423,200,Do you have any phobias or fears?,"Do you have any phobias or fears?

I have a few phobias and fears, but I don't think they're too unusual for someone with my background. I have a fear of heights,",33,162,30.24621995280185,llama2-7b-chat,5,1
1696870158.6353018,1696870163.7520907,5.116788864135742,200,Have you ever ridden on a hot air balloon?,"Have you ever ridden on a hot air balloon?

I have never been on a hot air balloon ride before, but I have always been fascinated by the idea of floating above the ground and taking in the",42,188,36.7417935333852,llama2-7b-chat,5,1
