start_t,end_t,latency,status_code,input_text,output_text,input_len,output_len,output_speed,model_name,batch_size,num_worker
1696870952.3025742,1696870958.255046,5.952471733093262,200,Are you a morning news or evening news watcher?,"Are you a morning news or evening news watcher?

I am a morning news watcher. I find it easier to stay on top of current events and news stories when they are fresh and breaking. Plus, I like starting my day",47,207,34.77546963376009,llama2-7b-chat,12,1
1696870952.3027709,1696870958.2607315,5.957960605621338,200,Are you a morning news or evening news watcher?,"Are you a morning news or evening news watcher?

I am a morning news watcher. I find it easier to stay on top of current events and news stories when they are fresh and breaking. Plus, I like starting my day",47,207,34.74343214097378,llama2-7b-chat,12,1
1696870952.3029141,1696870958.262497,5.959582805633545,200,Are you a morning news or evening news watcher?,"Are you a morning news or evening news watcher?

I am a morning news watcher. I find it easier to stay on top of current events and news stories when they are fresh and breaking. Plus, I like starting my day",47,207,34.7339749695775,llama2-7b-chat,12,1
1696870952.3030434,1696870958.2596695,5.9566261768341064,200,Are you a morning news or evening news watcher?,"Are you a morning news or evening news watcher?

I am a morning news watcher. I find it easier to stay on top of current events and news stories when they are fresh and breaking. Plus, I like starting my day",47,207,34.75121551274159,llama2-7b-chat,12,1
1696870952.3032172,1696870958.2552567,5.952039480209351,200,Are you a morning news or evening news watcher?,"Are you a morning news or evening news watcher?

I am a morning news watcher. I find it easier to stay on top of current events and news stories when they are fresh and breaking. Plus, I like starting my day",47,207,34.77799512054298,llama2-7b-chat,12,1
1696870952.303383,1696870958.2642376,5.960854530334473,200,Are you a morning news or evening news watcher?,"Are you a morning news or evening news watcher?

I am a morning news watcher. I find it easier to stay on top of current events and news stories when they are fresh and breaking. Plus, I like starting my day",47,207,34.726564613611686,llama2-7b-chat,12,1
1696870952.303486,1696870958.2582388,5.954752683639526,200,Are you a morning news or evening news watcher?,"Are you a morning news or evening news watcher?

I am a morning news watcher. I find it easier to stay on top of current events and news stories when they are fresh and breaking. Plus, I like starting my day",47,207,34.76214899213618,llama2-7b-chat,12,1
1696870952.3036535,1696870958.2591763,5.955522775650024,200,Are you a morning news or evening news watcher?,"Are you a morning news or evening news watcher?

I am a morning news watcher. I find it easier to stay on top of current events and news stories when they are fresh and breaking. Plus, I like starting my day",47,207,34.75765399577482,llama2-7b-chat,12,1
1696870952.3037925,1696870958.262136,5.958343505859375,200,Are you a morning news or evening news watcher?,"Are you a morning news or evening news watcher?

I am a morning news watcher. I find it easier to stay on top of current events and news stories when they are fresh and breaking. Plus, I like starting my day",47,207,34.741199428404606,llama2-7b-chat,12,1
1696870952.3039248,1696870958.2568328,5.952908039093018,200,Are you a morning news or evening news watcher?,"Are you a morning news or evening news watcher?

I am a morning news watcher. I find it easier to stay on top of current events and news stories when they are fresh and breaking. Plus, I like starting my day",47,207,34.772920838121735,llama2-7b-chat,12,1
