start_t,end_t,latency,status_code,input_text,output_text,input_len,output_len,output_speed,model_name,batch_size,num_worker
1696873721.6823826,1696873728.0531693,6.370786666870117,200,Have you ever participated in a charity event?,"Have you ever participated in a charity event? If so, what was it for and how did you get involved?

Charity events are a great way to give back to the community and help those in need. They can range from",46,205,32.178129753748884,llama2-7b-chat,24,2
1696873721.6825495,1696873728.061816,6.3792665004730225,200,Have you ever participated in a charity event?,"Have you ever participated in a charity event? If so, what was it for and how did you get involved?

Charity events are a great way to give back to the community and help those in need. They can range from",46,205,32.13535599818557,llama2-7b-chat,24,2
1696873721.6827047,1696873728.0626516,6.379946947097778,200,Have you ever participated in a charity event?,"Have you ever participated in a charity event? If so, what was it for and how did you get involved?

Charity events are a great way to give back to the community and help those in need. They can range from",46,205,32.13192863512039,llama2-7b-chat,24,2
1696873721.68284,1696873728.0530398,6.370199680328369,200,Have you ever participated in a charity event?,"Have you ever participated in a charity event? If so, what was it for and how did you get involved?

Charity events are a great way to give back to the community and help those in need. They can range from",46,205,32.18109483020675,llama2-7b-chat,24,2
1696873721.683278,1696873728.0564878,6.373209714889526,200,Have you ever participated in a charity event?,"Have you ever participated in a charity event? If so, what was it for and how did you get involved?

Charity events are a great way to give back to the community and help those in need. They can range from",46,205,32.16589586265537,llama2-7b-chat,24,2
1696873721.6834729,1696873728.063724,6.380251169204712,200,Have you ever participated in a charity event?,"Have you ever participated in a charity event? If so, what was it for and how did you get involved?

Charity events are a great way to give back to the community and help those in need. They can range from",46,205,32.130396525683004,llama2-7b-chat,24,2
1696873721.6836338,1696873728.0612986,6.377664804458618,200,Have you ever participated in a charity event?,"Have you ever participated in a charity event? If so, what was it for and how did you get involved?

Charity events are a great way to give back to the community and help those in need. They can range from",46,205,32.14342651822729,llama2-7b-chat,24,2
1696873721.6837094,1696873728.0583897,6.374680280685425,200,Have you ever participated in a charity event?,"Have you ever participated in a charity event? If so, what was it for and how did you get involved?

Charity events are a great way to give back to the community and help those in need. They can range from",46,205,32.15847555855112,llama2-7b-chat,24,2
1696873721.6839418,1696873728.0531523,6.369210481643677,200,Have you ever participated in a charity event?,"Have you ever participated in a charity event? If so, what was it for and how did you get involved?

Charity events are a great way to give back to the community and help those in need. They can range from",46,205,32.18609285889018,llama2-7b-chat,24,2
1696873721.6840968,1696873728.0558329,6.3717360496521,200,Have you ever participated in a charity event?,"Have you ever participated in a charity event? If so, what was it for and how did you get involved?

Charity events are a great way to give back to the community and help those in need. They can range from",46,205,32.173335242157926,llama2-7b-chat,24,2
1696873721.6842842,1696873728.0533488,6.369064569473267,200,Have you ever participated in a charity event?,"Have you ever participated in a charity event? If so, what was it for and how did you get involved?

Charity events are a great way to give back to the community and help those in need. They can range from",46,205,32.18683022661739,llama2-7b-chat,24,2
1696873721.6844893,1696873728.0546472,6.370157957077026,200,Have you ever participated in a charity event?,"Have you ever participated in a charity event? If so, what was it for and how did you get involved?

Charity events are a great way to give back to the community and help those in need. They can range from",46,205,32.18130560989497,llama2-7b-chat,24,2
1696873721.6847174,1696873728.0646284,6.379910945892334,200,Have you ever participated in a charity event?,"Have you ever participated in a charity event? If so, what was it for and how did you get involved?

Charity events are a great way to give back to the community and help those in need. They can range from",46,205,32.13210995241054,llama2-7b-chat,24,2
1696873721.6849017,1696873728.0575342,6.3726325035095215,200,Have you ever participated in a charity event?,"Have you ever participated in a charity event? If so, what was it for and how did you get involved?

Charity events are a great way to give back to the community and help those in need. They can range from",46,205,32.16880934011225,llama2-7b-chat,24,2
1696873721.6857631,1696873728.0607493,6.374986171722412,200,Have you ever participated in a charity event?,"Have you ever participated in a charity event? If so, what was it for and how did you get involved?

Charity events are a great way to give back to the community and help those in need. They can range from",46,205,32.156932498037484,llama2-7b-chat,24,2
